symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
SKIPPER,EQ,115.2,133.0,115.2,131.3,131.0,3143405,2022-12-08,0.13975700112864708
AURIONPRO,EQ,344.0,412.0,342.0,391.65,394.6,559243,2022-12-08,0.13851742411768714
CROWN,EQ,38.65,47.25,38.0,43.75,44.5,60420,2022-12-08,0.1319533835129679
VENKEYS,EQ,1825.0,2135.0,1818.6,2044.8,2043.0,1536841,2022-12-08,0.12043838291952055
OPTIEMUS,EQ,290.0,328.7,290.0,324.5,327.0,1912089,2022-12-08,0.11896551724137931
CENTRALBK,EQ,28.5,33.25,28.45,31.55,32.45,138188776,2022-12-08,0.10701751708984375
PULZ,SM,63.5,70.1,63.5,70.1,70.1,80000,2022-12-08,0.10393698384442668
MPTODAY,SM,38.5,42.45,38.5,42.45,42.45,38000,2022-12-08,0.10259742241401176
KEC,EQ,435.7,484.7,434.95,479.7,478.15,6000413,2022-12-08,0.10098691477449982
PSB,EQ,28.85,31.65,28.65,31.65,31.65,35480663,2022-12-08,0.09705369844150777
AAATECH,EQ,63.0,69.35,62.85,68.9,68.65,47870,2022-12-08,0.09365081787109375
UNIINFO,EQ,23.4,27.35,23.3,25.5,25.25,622041,2022-12-08,0.08974360750872633
CHEMPLASTS,EQ,428.55,475.8,426.05,466.3,465.6,1386951,2022-12-08,0.08808774022935432
INDSWFTLAB,EQ,66.35,73.45,66.2,71.8,71.9,756168,2022-12-08,0.08214023666876825
KARURVYSYA,EQ,102.5,111.9,101.45,110.9,110.6,25028924,2022-12-08,0.0819512343988186
ENERGYDEV,EQ,21.45,23.35,21.45,23.2,23.35,469649,2022-12-08,0.08158507868324125
J&KBANK,EQ,57.1,62.0,56.5,61.65,61.55,35562239,2022-12-08,0.0796848191479369
VIVO,SM,102.0,110.0,102.0,110.0,110.0,4800,2022-12-08,0.0784313725490196
PRICOLLTD,EQ,186.5,202.8,186.5,200.95,202.5,3164548,2022-12-08,0.07747987639808143
PTL,EQ,31.8,34.95,31.5,34.25,34.3,653139,2022-12-08,0.07704405099746539
SEPC,EQ,10.45,11.4,10.4,11.25,11.25,10241638,2022-12-08,0.07655504357287837
BLBLIMITED,EQ,19.4,23.55,19.4,23.55,23.55,317313,2022-12-07,0.21391751031615092
HECPROJECT,EQ,31.35,37.6,31.35,37.6,37.6,36412,2022-12-07,0.1993619782009827
LPDC,EQ,6.1,7.25,6.1,7.25,7.25,400611,2022-12-07,0.18852460874533433
BURNPUR,EQ,5.1,6.05,5.05,6.05,6.05,2721620,2022-12-07,0.1862745693856514
NITCO,EQ,23.6,27.9,23.55,27.9,27.9,928324,2022-12-07,0.18220335455743572
KANPRPLA,EQ,95.0,111.3,95.0,111.3,111.3,179820,2022-12-07,0.1715789794921875
RAJTV,EQ,52.0,60.8,49.2,60.8,60.8,292121,2022-12-07,0.16923075455885667
NEXTMEDIA,EQ,5.6,6.5,5.45,6.5,6.5,143238,2022-12-07,0.16071430548113252
SITINET,EQ,1.6,1.85,1.6,1.85,1.85,15577953,2022-12-07,0.1562499976716936
AGRITECH,EQ,95.9,110.8,94.2,110.8,110.8,71364,2022-12-07,0.15537019070701574
OPTIEMUS,EQ,257.95,308.75,257.9,296.25,292.65,2879432,2022-12-07,0.148478332934635
WEALTH,EQ,303.65,360.9,298.0,346.8,342.1,43274,2022-12-07,0.14210437926501127
MITTAL,EQ,11.55,13.9,11.55,13.15,13.7,97926,2022-12-07,0.1385280866989848
CUBEXTUB,EQ,38.5,44.5,35.15,43.3,43.5,925245,2022-12-07,0.1246753048587155
LASA,EQ,31.75,37.7,31.6,35.45,35.1,609857,2022-12-07,0.11653545710045522
GOKULAGRO,EQ,118.6,138.0,118.6,132.2,132.7,2721472,2022-12-07,0.11467115218461539
HERCULES,EQ,194.0,224.2,193.3,216.2,217.5,598280,2022-12-07,0.11443297396001127
KANANIIND,EQ,10.7,11.9,10.5,11.9,11.9,2353033,2022-12-07,0.11214951688373453
PPAP,EQ,226.0,264.0,225.95,250.9,251.35,287548,2022-12-07,0.11017696414373618
GAL,EQ,2.75,3.15,2.75,3.05,3.0,1974694,2022-12-07,0.10909089175137607
FACT,EQ,147.6,165.75,145.55,162.45,165.45,8034728,2022-12-07,0.10060968990957823
HIKAL,EQ,351.95,392.9,351.95,385.85,381.0,6337666,2022-12-07,0.09632047938825763
USASEEDS,SM,232.1,255.2,232.1,254.25,253.1,21600,2022-12-07,0.09543297420942579
KOTAKNIFTY,EQ,180.7,199.02,180.7,197.68,197.5,16312,2022-12-07,0.09396788054403031
SIDDHIKA,SM,173.0,189.05,173.0,189.0,189.0,14000,2022-12-07,0.09248554913294797
UNIVASTU,EQ,78.0,94.55,77.0,94.55,94.55,1747093,2022-12-06,0.21217952630458733
FIVESTAR,EQ,517.15,624.6,515.2,624.6,624.6,2132436,2022-12-06,0.20777326906948743
PSB,EQ,25.4,30.0,25.05,29.85,30.0,46263172,2022-12-06,0.17519688306188033
DTIL,EQ,226.05,266.0,226.05,264.9,266.0,529898,2022-12-06,0.17186458889731238
JNPT,N1,1050.0,1228.99,1050.0,1228.0,1228.0,22,2022-12-06,0.16952380952380952
TIJARIA,EQ,4.95,5.75,4.8,5.75,5.75,267103,2022-12-06,0.16161620637590066
VIVIANA,SM,85.0,99.5,83.65,96.8,97.0,156000,2022-12-06,0.13882356531479778
SUMEETINDS,EQ,5.45,6.2,5.3,6.2,6.2,1706406,2022-12-06,0.1376146837152143
PASHUPATI,SM,103.05,123.5,103.0,115.7,110.0,20800,2022-12-06,0.12275588085262645
JAGSNPHARM,EQ,331.0,380.95,331.0,366.95,364.8,495922,2022-12-06,0.10861030878257175
SRTRANSFIN,Z5,985.0,1089.0,985.0,1089.0,1089.0,15,2022-12-06,0.10558375634517767
KOTHARIPET,EQ,65.15,74.3,65.0,71.8,71.8,548809,2022-12-06,0.10207216224296466
JSL,EQ,179.4,203.0,178.05,197.3,202.15,9881520,2022-12-06,0.09977708898698137
PNCINFRA,EQ,265.9,293.65,265.15,291.15,291.45,3365548,2022-12-06,0.09496051365021804
PONNIERODE,EQ,330.5,384.7,330.5,361.8,356.5,1134059,2022-12-06,0.09470495550066188
NAVKARCORP,EQ,59.0,65.0,58.6,64.55,64.9,6038694,2022-12-06,0.09406784833487818
INDBANK,EQ,27.7,31.25,27.55,30.3,30.05,3429832,2022-12-06,0.09386275821333907
TARC,EQ,44.1,48.6,44.1,48.1,48.0,7061029,2022-12-06,0.09070295098416598
DONEAR,EQ,72.95,80.35,70.75,79.4,79.15,1339246,2022-12-06,0.08841679023253392
TRACXN,EQ,77.1,85.5,76.0,83.8,84.6,3100450,2022-12-06,0.08690019079423977
VISESHINFO,BE,0.6,0.65,0.6,0.65,0.65,6112696,2022-12-06,0.08333325054910777
ZENITHSTL,EQ,4.85,5.25,4.8,5.25,5.25,503067,2022-12-06,0.08247424808923481
DPSCLTD,EQ,13.45,15.45,13.35,14.55,14.5,801523,2022-12-06,0.08178441613894914
SOMICONVEY,EQ,40.05,43.25,40.05,43.2,43.25,10092,2022-12-06,0.07865172499089663
IDBI,EQ,54.5,59.9,54.3,58.7,58.3,74514483,2022-12-06,0.07706423418237529
YAARI,EQ,22.35,26.55,22.35,26.55,26.55,5411547,2022-12-05,0.18791940867585033
SEPC,EQ,8.3,9.8,8.1,9.7,9.7,5412496,2022-12-05,0.16867464895881173
KAUSHALYA,EQ,4.8,5.6,4.7,5.6,5.6,314270,2022-12-05,0.16666660043928622
SATIN,EQ,147.4,173.4,146.2,171.5,169.25,1993709,2022-12-05,0.16350072660410356
SADBHAV,EQ,18.0,21.0,17.8,20.8,21.0,7938812,2022-12-05,0.15555551317003039
JUNIORBEES,EQ,403.7,468.4,403.7,463.74,463.5,114124,2022-12-05,0.14872424129765244
ALPA,EQ,55.0,64.9,53.45,63.1,63.5,714640,2022-12-05,0.14727269952947444
COUNCODOS,EQ,5.1,5.85,4.8,5.85,5.85,2544557,2022-12-05,0.14705882627933775
SHARDACROP,EQ,437.0,513.0,435.2,498.15,495.65,5637368,2022-12-05,0.1399313361475615
NAGREEKEXP,EQ,42.15,50.45,41.8,47.85,48.1,572084,2022-12-05,0.13523123942813028
GTLINFRA,EQ,1.25,1.4,1.25,1.4,1.4,44024099,2022-12-05,0.11999998092651368
INDTERRAIN,EQ,76.75,87.2,76.75,85.95,86.7,3622172,2022-12-05,0.1198696670780741
ORTEL,BZ,0.95,1.05,0.95,1.05,1.05,1321,2022-12-05,0.10526312157057613
KRISHIVAL,SM,234.65,259.35,234.65,259.05,259.35,12000,2022-12-05,0.10398463469489119
JKLAKSHMI,EQ,748.55,834.75,747.0,825.35,822.9,3968081,2022-12-05,0.10259834218875148
HITECHGEAR,EQ,261.15,290.0,261.15,287.75,289.5,62539,2022-12-05,0.101857195960952
ANSALAPI,BE,13.75,15.15,13.75,15.15,15.15,5515216,2022-12-05,0.10181815407492897
TEGA,EQ,572.0,629.2,572.0,629.2,629.2,463153,2022-12-05,0.10000002134096372
GTL,EQ,7.55,8.3,7.55,8.3,8.3,1633127,2022-12-05,0.09933774583481174
BAJAJHIND,EQ,14.8,16.2,14.6,16.2,16.2,188055128,2022-12-05,0.09459463203797944
MPTODAY,SM,37.0,40.5,37.0,40.5,40.5,8000,2022-12-05,0.0945945945945946
TFCILTD,EQ,78.0,87.1,77.95,85.35,85.6,4299223,2022-12-05,0.09423074966821915
TTKHLTCARE,EQ,923.65,1039.0,915.3,1009.45,988.25,98514,2022-12-05,0.09289231367410816
FELIX,SM,66.5,72.65,66.25,72.6,72.6,44000,2022-12-05,0.09172930036272321
KECL,EQ,72.0,78.6,71.3,78.6,78.6,1237919,2022-12-05,0.09166664547390407
SKIPPER,EQ,90.1,108.65,90.1,108.65,108.65,3088619,2022-12-02,0.2058823902986616
COUNCODOS,EQ,4.1,4.9,4.0,4.9,4.9,1884003,2022-12-02,0.19512200227881646
BAJAJHIND,EQ,11.3,13.5,11.25,13.5,13.5,51802190,2022-12-02,0.1946902453213203
RAYMOND,EQ,1370.0,1630.0,1370.0,1608.9,1591.0,9368609,2022-12-02,0.1743795798642792
PEARLPOLY,EQ,20.75,24.35,19.65,24.35,24.35,1865885,2022-12-02,0.17349399428769766
ESSEN-RE1,BE,2.7,3.45,2.55,3.1,3.0,3078326,2022-12-02,0.14814809254985223
UTINEXT50,EQ,46.04,54.3,45.52,52.35,46.2,145685,2022-12-02,0.13705467925969686
TOKYOPLAST,EQ,96.1,109.7,96.1,106.75,105.25,153951,2022-12-02,0.11082207799146698
DELTAMAGNT,EQ,71.8,84.4,71.35,79.45,78.95,171186,2022-12-02,0.10654587146702199
LIKHITHA,EQ,238.9,273.35,238.0,263.9,268.5,4134059,2022-12-02,0.1046462981946853
KSHITIJPOL,BE,34.5,38.1,34.5,38.1,38.1,2189463,2022-12-02,0.10434778185858243
SPCENET,BE,19.05,21.0,19.05,21.0,21.0,376072,2022-12-02,0.10236224887326253
MOKSH,EQ,12.65,14.15,12.65,13.9,14.0,1708108,2022-12-02,0.09881423222882516
HINDWAREAP,EQ,345.85,380.0,345.85,377.95,380.0,458835,2022-12-02,0.09281482011571178
RAMKY,EQ,279.8,307.8,278.25,305.35,303.5,839100,2022-12-02,0.09131529458625993
HCC,EQ,17.0,19.35,16.85,18.55,18.7,112851440,2022-12-02,0.09117642570944394
E2E,BE,175.0,190.75,175.0,190.75,190.75,7881,2022-12-02,0.09
RICOAUTO,EQ,71.3,78.4,69.4,77.45,76.9,8446088,2022-12-02,0.08625517017187216
SSINFRA,ST,8.55,9.3,8.55,9.25,9.3,24000,2022-12-02,0.08187132089466918
SAKHTISUG,EQ,21.4,23.75,21.4,23.15,23.3,1878709,2022-12-02,0.08177570239228761
MTARTECH,EQ,1607.4,1750.0,1599.35,1737.8,1735.25,1259489,2022-12-02,0.0811248117665026
IPSL,SM,78.0,85.05,78.0,84.3,83.4,74000,2022-12-02,0.08076926989433093
NELCAST,EQ,88.0,96.15,87.35,95.0,94.8,1251079,2022-12-02,0.07954545454545454
ASPINWALL,EQ,213.4,230.25,213.4,230.25,230.25,10006,2022-12-02,0.07895973095336259
AIROLAM,EQ,86.6,100.6,85.7,93.4,92.85,533519,2022-12-02,0.07852197657705358
PREMIERPOL,EQ,90.65,110.5,90.65,110.4,110.5,580550,2022-12-01,0.2178709284893033
WEIZMANIND,EQ,105.35,125.5,104.6,122.35,121.45,502105,2022-12-01,0.16136687466754923
SADBHAV,EQ,14.0,16.5,13.95,16.1,16.1,6306500,2022-12-01,0.15000002724783762
HPL,EQ,98.95,115.6,98.95,112.55,112.8,6886433,2022-12-01,0.13744321902939913
CHEMPLASTS,EQ,388.0,441.5,387.5,435.3,431.55,1924573,2022-12-01,0.12190718503342461
AXITA,EQ,45.0,51.25,44.0,50.25,50.9,3140629,2022-12-01,0.11666666666666667
ICICIGOLD,EQ,42.2,47.38,42.2,46.65,46.65,240136,2022-12-01,0.10545025313950936
667GS2035,GS,87.85,96.96,87.85,96.96,96.96,5600,2022-12-01,0.1036994965120596
HINDMOTORS,EQ,19.25,21.0,18.9,21.0,21.0,2061647,2022-12-01,0.09090909090909091
VEEKAYEM,SM,33.15,36.0,30.25,36.0,36.0,20000,2022-12-01,0.08597280069191586
BOHRAIND,BE,153.9,170.0,153.9,166.65,168.45,19226,2022-12-01,0.08284600718422287
JPASSOCIAT,EQ,9.9,10.7,9.75,10.7,10.7,36653615,2022-12-01,0.08080810318795033
MARALOVER,EQ,64.5,73.2,63.3,69.55,69.0,538084,2022-12-01,0.07829462095748546
LTTS,EQ,3867.95,4189.0,3856.6,4159.75,4157.0,1904500,2022-12-01,0.07544049238272026
SALASAR,EQ,36.2,39.3,35.6,38.85,38.6,7909489,2022-12-01,0.07320435511964503
SANWARIA,BZ,0.7,0.75,0.7,0.75,0.75,943089,2022-12-01,0.07142858967489157
MEGAFLEX,SM,38.75,41.9,38.75,41.5,41.45,27000,2022-12-01,0.07096774193548387
AMJLAND,EQ,28.05,30.7,27.95,30.0,29.8,127980,2022-12-01,0.06951874566766655
GREENPOWER,EQ,8.75,9.5,8.55,9.35,9.4,15343965,2022-12-01,0.06857147216796874
HUBTOWN,BE,55.1,58.8,55.1,58.8,58.8,346046,2022-12-01,0.06715065091475889
TV18BRDCST,EQ,37.45,41.25,37.4,39.9,40.1,54628739,2022-12-01,0.06542057978711648
KHAITANLTD,BE,50.0,53.7,49.2,53.25,53.25,3530,2022-12-01,0.065
NETWORK18,EQ,68.95,76.2,68.4,73.4,73.4,14082737,2022-12-01,0.06453959063953471
DHANBANK,EQ,16.45,17.85,16.25,17.5,17.6,8958954,2022-12-01,0.06382973789436605
MAXVIL,EQ,162.0,174.2,162.0,172.25,171.5,122116,2022-12-01,0.06327160493827161
HLVLTD,EQ,11.1,13.2,10.9,13.2,13.2,5104295,2022-11-30,0.189189131137431
KRIDHANINF,EQ,3.45,4.05,3.35,4.05,4.05,719007,2022-11-30,0.17391308253864507
ICICIFIN,EQ,17.5,20.46,17.5,20.46,20.46,32093,2022-11-30,0.16914280482700894
TARMAT,EQ,50.75,58.7,50.0,58.7,58.7,666367,2022-11-30,0.15665026133870844
RAJMET,EQ,27.9,32.0,26.95,32.0,32.0,2394249,2022-11-30,0.1469534206999286
CUBEXTUB,EQ,29.8,34.9,29.25,33.95,34.2,484923,2022-11-30,0.139261799735813
BHANDARI,EQ,5.85,6.65,5.6,6.65,6.65,6242220,2022-11-30,0.13675217158573788
LIKHITHA,EQ,417.0,482.0,386.0,469.75,473.3,3939843,2022-11-30,0.1264988009592326
SIMPLEXINF,EQ,54.0,60.25,54.0,60.25,60.25,230689,2022-11-30,0.11574074074074074
LATTEYS,SM,47.3,52.2,47.3,52.2,52.2,85000,2022-11-30,0.10359411426881486
ISGEC,EQ,472.0,535.0,471.1,519.65,533.55,236803,2022-11-30,0.10095344155521715
TAJGVK,EQ,202.9,225.45,202.3,223.2,223.0,2093140,2022-11-30,0.10004930341256923
STCINDIA,EQ,96.45,113.7,95.85,105.9,104.1,3877007,2022-11-30,0.09797827762200823
SALASAR,EQ,32.25,36.0,32.1,35.35,35.4,3823676,2022-11-30,0.09612398369367732
CMRSL,SM,249.9,273.0,249.9,273.0,273.0,5600,2022-11-30,0.0924370014714138
DCM,EQ,85.5,93.3,85.5,93.3,93.3,645434,2022-11-30,0.09122810586851243
RICOAUTO,EQ,67.7,74.45,67.7,73.8,73.4,5952217,2022-11-30,0.0901034915581929
CLOUD,SM,585.1,637.35,576.65,637.35,637.35,135000,2022-11-30,0.0893009779186458
VBL,EQ,1151.0,1324.0,1151.0,1249.75,1310.0,35107723,2022-11-30,0.08579496090356212
GOCOLORS,EQ,1127.0,1353.2,1123.6,1222.6,1272.0,237805,2022-11-30,0.08482695260509095
HUDCO,EQ,49.15,55.2,49.0,53.3,53.1,80235507,2022-11-30,0.0844353526417806
MUKANDLTD,EQ,103.45,118.0,101.65,112.05,112.75,434287,2022-11-30,0.08313200925291817
SAKAR,EQ,250.0,270.95,247.6,270.15,270.8,156074,2022-11-30,0.0805999755859375
MORARJEE,EQ,21.2,22.9,20.2,22.9,22.9,128574,2022-11-30,0.08018862237791305
DYNPROPP,E1,138.95,154.0,138.45,150.05,150.0,2320,2022-11-30,0.07988489634620353
COMP-RE,BE,2.05,2.85,2.0,2.8,2.8,880677,2022-11-29,0.36585366704646943
LFIC,EQ,102.0,120.95,101.65,120.95,120.95,35111,2022-11-29,0.18578428380629597
BCLIND,EQ,327.5,393.0,327.0,381.75,377.0,1211524,2022-11-29,0.16564885496183207
RITEZONE,SM,80.2,97.8,80.0,93.2,94.35,433600,2022-11-29,0.16209476926027405
SBC,EQ,13.0,15.0,13.0,15.0,15.0,16604362,2022-11-29,0.15384615384615385
NAGREEKEXP,EQ,38.65,44.8,37.5,44.4,44.8,897320,2022-11-29,0.14877101611884722
NILAINFRA,EQ,7.15,8.3,7.0,8.15,8.05,9958139,2022-11-29,0.13986007130416028
PFOCUS,EQ,81.65,94.95,78.0,92.8,91.55,1450185,2022-11-29,0.13655849745875293
ALKALI,EQ,119.3,138.35,117.95,135.3,134.7,601291,2022-11-29,0.13411567133873808
NIACL,EQ,102.2,116.8,102.0,115.0,114.2,19182624,2022-11-29,0.12524465199583323
BHANDARI,EQ,4.95,5.7,4.85,5.55,5.55,3126521,2022-11-29,0.12121220294729687
DYNPROPP,E1,133.95,155.05,133.95,150.0,150.0,433,2022-11-29,0.11982085418008243
SREIBNPNCD,NU,166.1,185.01,166.1,185.0,185.0,203,2022-11-29,0.11378683444903463
RADHIKAJWE,EQ,142.0,160.65,141.0,156.95,159.0,181790,2022-11-29,0.10528166864959287
TIDEWATER,EQ,1003.0,1174.0,1000.55,1107.15,1094.8,643589,2022-11-29,0.1038385088874003
CHEMBOND,EQ,245.8,275.75,241.55,270.8,267.9,522057,2022-11-29,0.10170864292441331
ADFFOODS,EQ,750.0,835.0,750.0,825.45,825.0,212667,2022-11-29,0.10060001627604166
SHIGAN,SM,76.5,84.0,76.5,84.0,84.0,30000,2022-11-29,0.09803921568627451
ACCELYA,EQ,1534.1,1715.0,1519.65,1682.7,1670.0,233744,2022-11-29,0.09686459679994512
SHRADHA,BE,62.05,67.9,62.05,67.8,67.8,634,2022-11-29,0.09266726648504076
SHUBHLAXMI,SM,42.5,47.0,42.0,46.3,46.3,9000,2022-11-29,0.0894117467543658
DKEGL,SM,55.1,60.05,55.0,59.95,60.05,51000,2022-11-29,0.08802182256132489
WEWIN,BE,44.1,48.3,44.1,47.9,47.9,3479,2022-11-29,0.0861678726358175
VISESHINFO,BE,0.6,0.65,0.6,0.65,0.65,4321794,2022-11-29,0.08333325054910777
DCM,EQ,78.5,85.4,77.5,84.85,85.35,418542,2022-11-29,0.08089170030727508
IBULHSGFIN,YU,815.2,1000.0,815.2,1000.0,1000.0,600,2022-11-28,0.22669281774499808
STCINDIA,EQ,87.0,105.3,87.0,104.85,105.3,1410058,2022-11-28,0.20517239625426545
DAMODARIND,EQ,50.0,59.6,49.0,59.6,59.6,1303650,2022-11-28,0.19199996948242187
MSTCLTD,EQ,290.0,338.8,290.0,338.8,338.8,5196961,2022-11-28,0.1682758199757543
RAMCOSYS,EQ,240.0,283.45,240.0,278.65,276.5,1191357,2022-11-28,0.16104164123535156
PFOCUS,EQ,69.9,82.25,67.0,81.1,82.25,976527,2022-11-28,0.16022885126970476
ICICITECH,EQ,27.4,31.87,27.4,31.54,31.57,1314434,2022-11-28,0.15109493995019035
MHHL,SM,43.9,50.75,43.9,49.8,50.75,294000,2022-11-28,0.13439629854462787
SBC,EQ,11.05,12.75,11.0,12.5,12.5,8906599,2022-11-28,0.13122169993091257
PROZONINTU,EQ,21.9,26.1,21.9,24.75,24.85,4012764,2022-11-28,0.13013700598689748
RICOAUTO,EQ,61.45,69.95,61.25,69.15,69.35,8090326,2022-11-28,0.12530513697866916
SETCO,EQ,11.2,12.7,10.9,12.5,12.55,1253265,2022-11-28,0.11607144757801205
JKTYRE,EQ,174.0,196.8,173.45,193.55,195.45,16105992,2022-11-28,0.11235633937791846
TANLA,EQ,736.2,849.0,736.15,818.4,816.5,5591154,2022-11-28,0.11165445645756834
DYNPROPP,E1,135.0,152.05,133.95,150.0,150.0,624,2022-11-28,0.1111111111111111
INNOVANA,SM,396.25,437.85,396.25,437.85,437.85,9000,2022-11-28,0.10498424253253155
MEDICO,BE,269.7,298.0,269.7,298.0,298.0,154608,2022-11-28,0.10493135525423959
BIKAJI,EQ,387.0,431.0,387.0,427.35,421.15,6560933,2022-11-28,0.10426358166283108
DHRUV,EQ,56.25,67.7,56.1,61.95,61.5,172175,2022-11-28,0.10133334689670138
PRECISION,SM,39.95,45.35,39.95,43.95,43.0,322000,2022-11-28,0.10012515453343103
DHANILOANS,NX,900.0,990.0,900.0,990.0,990.0,1001,2022-11-28,0.1
GOLDSTAR,SM,74.0,81.35,74.0,81.35,81.35,198000,2022-11-28,0.0993243037043391
UGARSUGAR,EQ,81.95,93.7,80.85,89.85,90.7,5770751,2022-11-28,0.09640026626075866
AARVI,EQ,169.6,185.9,169.05,185.9,185.9,130956,2022-11-28,0.09610841513189586
MOREPENLAB,EQ,28.95,32.45,28.85,31.7,31.85,10947730,2022-11-28,0.09499136191804292
COMP-RE,BE,1.3,1.6,0.9,1.6,1.45,1581401,2022-11-25,0.23076929425347015
EXCEL,EQ,0.25,0.3,0.2,0.3,0.3,79588347,2022-11-25,0.20000004768371582
PEARLPOLY,EQ,17.9,21.15,17.0,20.95,21.1,1632018,2022-11-25,0.17039112901721995
DEVIT,EQ,120.9,142.0,120.9,138.35,137.95,576001,2022-11-25,0.14433419650455098
TIMESCAN,SM,123.75,141.35,119.0,140.9,141.35,140000,2022-11-25,0.13858580926452022
PANAMAPET,EQ,357.0,412.4,356.05,406.3,402.0,3000914,2022-11-25,0.13809520390187324
ATALREAL,SM,62.75,73.75,62.0,71.15,71.5,705600,2022-11-25,0.13386456614946465
TARACHAND,SM,65.05,77.0,65.05,73.15,74.5,78000,2022-11-25,0.12451957100872436
VMARCIND,SM,54.0,62.5,53.75,60.65,60.95,189000,2022-11-25,0.12314817640516493
DYNPROPP,E1,129.45,150.95,129.45,145.0,145.0,389,2022-11-25,0.12012362625219025
IBULHSGFIN,EQ,124.3,139.25,123.8,138.15,137.6,52110019,2022-11-25,0.11142389786554957
ITDC,EQ,365.0,404.55,355.0,404.55,404.55,1814983,2022-11-25,0.10835613093964042
DCMFINSERV,BE,5.7,6.3,5.7,6.3,6.3,38209,2022-11-25,0.10526322834159545
KORE,SM,165.65,183.05,165.65,183.05,183.05,69000,2022-11-25,0.10504080770535254
MASKINVEST,BE,171.7,189.7,171.7,189.7,189.65,10841,2022-11-25,0.1048340146763426
1018GS2026,GS,100.75,111.27,100.75,111.27,111.27,364,2022-11-25,0.10441684012969138
SUZLONPP,E1,5.35,6.05,5.3,5.9,5.9,16103208,2022-11-25,0.10280377580168137
NATHBIOGEN,EQ,145.9,167.65,144.3,160.1,158.4,252107,2022-11-25,0.09732702399635546
BSL,EQ,205.0,236.7,200.0,224.95,224.3,762930,2022-11-25,0.09731705828410823
KEEPLEARN,BE,4.15,4.55,4.15,4.55,4.55,57845,2022-11-25,0.09638556293382845
DAMODARIND,EQ,45.4,51.55,44.6,49.7,50.45,306995,2022-11-25,0.0947136363995376
TREJHARA,EQ,73.5,84.9,72.1,80.45,80.35,810560,2022-11-25,0.09455778160873725
FCSSOFT,EQ,2.65,2.9,2.6,2.9,2.9,8616559,2022-11-25,0.09433961924644257
ZENITHSTL,EQ,4.3,4.7,4.2,4.7,4.7,449802,2022-11-25,0.09302316297384026
GEPIL,EQ,131.0,151.35,131.0,142.95,142.05,1099100,2022-11-25,0.09122135074994037
INDBANK,EQ,25.3,30.1,25.15,29.9,30.1,3936376,2022-11-24,0.18181820237889354
BSL,EQ,174.0,209.8,174.0,205.35,204.1,699652,2022-11-24,0.18017244887077946
BRNL,EQ,34.25,40.3,33.65,40.3,40.3,2672766,2022-11-24,0.17664231349081888
ICICINIFTY,EQ,172.7,201.22,172.7,200.78,200.88,160079,2022-11-24,0.1625941072799799
NAGREEKEXP,EQ,34.5,40.7,34.05,40.0,39.75,515381,2022-11-24,0.15942028985507245
ROSSELLIND,EQ,320.0,379.3,315.15,370.55,366.95,2102744,2022-11-24,0.15796871185302735
PRECISION,SM,35.4,42.9,35.05,39.85,39.05,334000,2022-11-24,0.12570612306299056
COFFEEDAY,EQ,46.6,53.7,46.6,52.25,52.3,9253950,2022-11-24,0.12124467190737326
OLECTRA,EQ,459.8,513.45,457.1,513.45,513.45,1903116,2022-11-24,0.11668122191908183
DUCON,EQ,11.2,13.4,10.5,12.5,12.4,4065088,2022-11-24,0.11607144757801205
DKEGL,SM,58.0,64.3,58.0,64.3,64.3,288000,2022-11-24,0.10862074227168642
JETAIRWAYS,BZ,62.3,68.8,62.3,68.8,68.8,113671,2022-11-24,0.10433393088760413
UCL,SM,65.15,71.85,65.15,71.85,71.85,38000,2022-11-24,0.1028395516703221
SUPERSPIN,EQ,8.45,9.7,8.45,9.3,9.3,53199,2022-11-24,0.1005917633912524
DHANILOANS,NT,900.0,1000.0,900.0,985.0,0.0,124,2022-11-24,0.09444444444444444
SUULD,EQ,31.0,34.2,31.0,33.9,34.2,917391,2022-11-24,0.09354843631867439
GSPL,EQ,239.0,261.6,236.55,260.45,261.6,9501517,2022-11-24,0.08974900505033996
DISHTV,EQ,18.05,20.3,17.8,19.65,19.75,71871843,2022-11-24,0.08864268416059433
THEMISMED,EQ,912.0,1024.0,895.75,990.9,990.1,57945,2022-11-24,0.08651318466454222
FSC,BE,25.55,27.9,25.3,27.7,27.9,80364,2022-11-24,0.08414879021836941
AMIABLE,ST,122.5,132.65,120.05,132.65,132.65,57600,2022-11-24,0.08285709303252552
MARATHON,EQ,220.0,241.9,219.0,238.2,238.05,159942,2022-11-24,0.0827272588556463
PONNIERODE,EQ,298.05,343.2,298.05,322.4,319.0,647385,2022-11-24,0.08169772555209634
KAUSHALYA,EQ,4.3,4.75,4.3,4.65,4.6,44091,2022-11-24,0.08139532304828896
VEEKAYEM,SM,33.75,36.45,33.75,36.4,36.45,44000,2022-11-24,0.07851856372974537
