symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_q_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
BRITANNIA, N3,2022-12-22,28.75,28.76,28.9,28.45,28.71,28.7,28.65,6029,1.73,89,5557,92.17
BRNL, EQ,2022-12-22,38.7,38.5,40.35,35.55,36.7,36.3,37.24,138001,51.39,1159,80139,58.07
BROOKS, EQ,2022-12-22,102.15,101.15,103.75,97.85,98.85,100.2,100.62,68781,69.21,1037,52068,75.7
BSE, EQ,2022-12-22,561.75,564.95,567.95,542.65,549.0,549.4,550.61,729266,4015.39,29493,318324,43.65
BSHSL, BE,2022-12-22,212.25,202.05,210.0,201.65,201.65,201.65,203.43,60486,123.05,780,None,None
BSL, BE,2022-12-22,194.35,195.8,195.8,184.65,185.0,184.8,187.5,10762,20.18,209,None,None
BSLGOLDETF, EQ,2022-12-22,49.03,49.38,49.76,49.01,49.6,49.59,49.7,121749,60.51,281,107019,87.9
BSLNIFTY, EQ,2022-12-22,20.49,20.76,20.76,20.3,20.44,20.38,20.44,38230,7.81,704,15398,40.28
BSLSENETFG, EQ,2022-12-22,59.03,60.25,60.25,58.6,58.84,58.73,58.76,1617,0.95,60,1339,82.81
BSOFT, EQ,2022-12-22,299.65,303.45,305.0,293.05,296.35,296.25,297.08,1887343,5606.99,22609,449425,23.81
BTML, SM,2022-12-22,93.1,91.2,97.75,88.45,97.75,96.6,93.32,144000,134.39,24,114000,79.17
BURNPUR, EQ,2022-12-22,5.7,5.65,5.75,4.9,5.75,5.4,5.24,643138,33.68,1108,271035,42.14
BUTTERFLY, EQ,2022-12-22,1559.1,1543.5,1594.9,1542.05,1548.05,1553.3,1557.62,6915,107.71,843,4375,63.27
BVCL, EQ,2022-12-22,24.2,25.15,25.15,23.3,24.25,24.3,23.81,9420,2.24,99,7828,83.1
BYKE, EQ,2022-12-22,41.85,41.65,42.25,39.75,40.25,40.7,40.51,86619,35.09,1128,53674,61.97
CALSOFT, EQ,2022-12-22,20.3,20.75,20.85,19.15,19.15,19.5,19.67,25453,5.01,285,15291,60.08
CAMLINFINE, EQ,2022-12-22,141.3,142.95,142.95,134.5,136.1,135.1,136.12,518652,706.0,8232,304075,58.63
CAMPUS, EQ,2022-12-22,414.1,419.0,419.75,400.0,405.35,404.95,404.75,599414,2426.13,20837,278029,46.38
CAMS, EQ,2022-12-22,2202.1,2215.0,2284.0,2215.0,2252.0,2249.95,2253.3,364347,8209.82,32058,153767,42.2
CANBK, EQ,2022-12-22,314.6,317.6,318.4,308.25,311.8,311.85,313.0,10109450,31643.0,66712,1840086,18.2
CANFINHOME, EQ,2022-12-22,534.6,535.7,539.45,519.05,520.1,521.7,526.01,777151,4087.88,15199,313302,40.31
CANTABIL, EQ,2022-12-22,1330.0,1350.0,1355.95,1278.05,1290.05,1294.2,1295.9,15453,200.26,1802,4527,29.3
CAPACITE, EQ,2022-12-22,143.6,145.0,147.2,137.05,139.0,138.6,140.04,236284,330.89,4276,143056,60.54
CAPLIPOINT, EQ,2022-12-22,726.8,726.8,730.6,700.6,709.15,708.85,710.02,53819,382.12,6102,28312,52.61
CAPTRUST, EQ,2022-12-22,85.25,86.95,86.95,81.8,81.8,82.0,82.32,19624,16.15,241,13028,66.39
CARBORUNIV, EQ,2022-12-22,883.9,875.85,884.0,858.05,878.0,878.55,873.11,82990,724.6,7589,40281,48.54
CAREERP, EQ,2022-12-22,139.75,139.75,141.45,132.0,134.2,135.1,134.75,62686,84.47,1957,30848,49.21
CARERATING, EQ,2022-12-22,563.8,574.6,577.9,553.7,566.05,570.85,563.5,99563,561.03,6057,39924,40.1
CARTRADE, EQ,2022-12-22,484.45,485.1,487.95,466.45,469.3,467.3,474.02,55188,261.6,4946,33858,61.35
CARYSIL, EQ,2022-12-22,485.35,486.0,492.7,471.0,480.0,479.1,476.87,51075,243.56,5361,29476,57.71
CASTROLIND, EQ,2022-12-22,124.6,125.0,125.9,119.9,121.4,121.35,121.89,789024,961.76,10507,353308,44.78
CCHHL, EQ,2022-12-22,7.6,7.75,7.75,7.25,7.25,7.35,7.33,126234,9.26,263,81682,64.71
CCL, EQ,2022-12-22,520.1,520.1,526.2,501.4,504.0,505.8,510.82,92452,472.26,7238,49240,53.26
CDSL, EQ,2022-12-22,1161.35,1163.0,1168.65,1122.0,1128.0,1125.85,1134.85,457108,5187.49,41150,195755,42.82
CEATLTD, EQ,2022-12-22,1753.5,1760.0,1777.65,1646.9,1658.0,1658.9,1692.75,131422,2224.65,13275,40938,31.15
CELEBRITY, EQ,2022-12-22,17.95,18.25,19.3,16.25,17.1,17.0,17.09,198817,33.98,1185,89150,44.84
CENTENKA, EQ,2022-12-22,416.45,418.0,422.65,406.0,410.0,409.95,410.02,73838,302.75,4417,43456,58.85
CENTEXT, EQ,2022-12-22,10.3,10.45,10.45,9.8,10.15,10.1,10.01,151235,15.14,617,101477,67.1
CENTRALBK, EQ,2022-12-22,33.9,35.2,35.85,32.1,32.7,32.65,33.28,47366618,15762.7,50949,8417876,17.77
CENTRUM, EQ,2022-12-22,24.95,25.35,25.35,24.1,24.5,24.5,24.49,251045,61.49,1094,185758,73.99
CENTUM, EQ,2022-12-22,642.2,651.75,668.0,617.5,635.0,637.4,642.21,59186,380.1,5810,30978,52.34
CENTURYPLY, EQ,2022-12-22,514.7,519.9,522.8,506.3,513.05,514.45,515.57,207384,1069.21,23449,126952,61.22
CENTURYTEX, EQ,2022-12-22,746.7,752.0,752.0,725.55,739.0,731.1,732.05,121444,889.03,6204,70169,57.78
CERA, EQ,2022-12-22,5264.5,5230.0,5255.0,5110.15,5211.0,5199.8,5183.02,15464,801.5,3417,9210,59.56
CEREBRAINT, EQ,2022-12-22,14.3,13.85,14.25,13.6,13.6,13.6,13.66,2487980,339.89,2339,1543298,62.03
CESC, EQ,2022-12-22,78.95,79.05,79.55,73.55,76.5,76.4,77.44,2084548,1614.2,9101,956261,45.87
CGCL, EQ,2022-12-22,745.45,746.3,771.35,735.8,755.0,757.15,741.62,954995,7082.41,5896,790937,82.82
CGPOWER, EQ,2022-12-22,262.6,262.9,265.0,254.65,256.15,256.25,257.15,1766836,4543.4,50789,1120319,63.41
CHALET, EQ,2022-12-22,332.35,333.0,335.0,318.0,327.45,327.4,324.92,91228,296.42,6364,40408,44.29
